Site,SAN,LAN,BlackElo,WhiteElo,Opening,player,from_and_piece,to_and_result,from,to,piece_moved,action,index,player_name,result,match_name,piece_id,killed
https://lichess.org/cu2eud5o,Ke2,Kd1-e2,1243,1568,Zukertort Opening: Tennison Gambit,white,Kd1,e2,d1,e2,King,move,27,4lawsdotcom,black wins,4lawsdotcom (white) vs Verminard (black),W-K,
https://lichess.org/cu2eud5o,Bc5,Bf8-c5,1243,1568,Zukertort Opening: Tennison Gambit,black,Bf8,c5,f8,c5,Bishop,move,28,Verminard,black wins,4lawsdotcom (white) vs Verminard (black),B-B-f,
https://lichess.org/cu2eud5o,Bf4,Bc1-f4,1243,1568,Zukertort Opening: Tennison Gambit,white,Bc1,f4,c1,f4,Bishop,move,29,4lawsdotcom,black wins,4lawsdotcom (white) vs Verminard (black),W-B-c,
https://lichess.org/cu2eud5o,Rhe8,Rh8-e8,1243,1568,Zukertort Opening: Tennison Gambit,black,Rh8,e8,h8,e8,Rook,move,30,Verminard,black wins,4lawsdotcom (white) vs Verminard (black),B-R-h,
https://lichess.org/cu2eud5o,a3,a2-a3,1243,1568,Zukertort Opening: Tennison Gambit,white,a2,a3,a2,a3,Pawn,move,31,4lawsdotcom,black wins,4lawsdotcom (white) vs Verminard (black),W-P-a,
https://lichess.org/cu2eud5o,Nxe4,Nf6xe4,1243,1568,Zukertort Opening: Tennison Gambit,black,Nf6,e4,f6,e4,Knight,kill,32,Verminard,black wins,4lawsdotcom (white) vs Verminard (black),B-N-g,W-P-d
https://lichess.org/cu2eud5o,f3,f2-f3,1243,1568,Zukertort Opening: Tennison Gambit,white,f2,f3,f2,f3,Pawn,move,33,4lawsdotcom,black wins,4lawsdotcom (white) vs Verminard (black),W-P-f,
https://lichess.org/cu2eud5o,Ng5,Ne4-g5,1243,1568,Zukertort Opening: Tennison Gambit,black,Ne4,g5,e4,g5,Knight,move,34,Verminard,black wins,4lawsdotcom (white) vs Verminard (black),B-N-g,
https://lichess.org/cu2eud5o,Nd2,Nb1-d2,1243,1568,Zukertort Opening: Tennison Gambit,white,Nb1,d2,b1,d2,Knight,move,35,4lawsdotcom,black wins,4lawsdotcom (white) vs Verminard (black),W-N-b,
https://lichess.org/cu2eud5o,Nd3+,Ne5-d3+,1243,1568,Zukertort Opening: Tennison Gambit,black,Ne5,d3+,e5,d3,Knight,check,36,Verminard,black wins,4lawsdotcom (white) vs Verminard (black),B-N-b,
https://lichess.org/cu2eud5o,Kf1,Ke2-f1,1243,1568,Zukertort Opening: Tennison Gambit,white,Ke2,f1,e2,f1,King,move,37,4lawsdotcom,black wins,4lawsdotcom (white) vs Verminard (black),W-K,
https://lichess.org/cu2eud5o,Nxf4,Nd3xf4,1243,1568,Zukertort Opening: Tennison Gambit,black,Nd3,f4,d3,f4,Knight,kill,38,Verminard,black wins,4lawsdotcom (white) vs Verminard (black),B-N-b,W-B-c
https://lichess.org/cu2eud5o,b4,b2-b4,1243,1568,Zukertort Opening: Tennison Gambit,white,b2,b4,b2,b4,Pawn,move,39,4lawsdotcom,black wins,4lawsdotcom (white) vs Verminard (black),W-P-b,
https://lichess.org/cu2eud5o,Rxd2,Rd8xd2,1243,1568,Zukertort Opening: Tennison Gambit,black,Rd8,d2,d8,d2,Rook,kill,40,Verminard,black wins,4lawsdotcom (white) vs Verminard (black),B-R-a,W-N-b
https://lichess.org/cu2eud5o,bxc5,b4xc5,1243,1568,Zukertort Opening: Tennison Gambit,white,b4,c5,b4,c5,Pawn,kill,41,4lawsdotcom,black wins,4lawsdotcom (white) vs Verminard (black),W-P-b,B-B-f
https://lichess.org/cu2eud5o,Nxf3,Ng5xf3,1243,1568,Zukertort Opening: Tennison Gambit,black,Ng5,f3,g5,f3,Knight,kill,42,Verminard,black wins,4lawsdotcom (white) vs Verminard (black),B-N-g,W-P-f
https://lichess.org/cu2eud5o,c3,c2-c3,1243,1568,Zukertort Opening: Tennison Gambit,white,c2,c3,c2,c3,Pawn,move,43,4lawsdotcom,black wins,4lawsdotcom (white) vs Verminard (black),W-P-c,
https://lichess.org/cu2eud5o,Nxh2+,Nf3xh2+,1243,1568,Zukertort Opening: Tennison Gambit,black,Nf3,h2+,f3,h2,Knight,kill,44,Verminard,black wins,4lawsdotcom (white) vs Verminard (black),B-N-g,W-P-h
https://lichess.org/cu2eud5o,Kg1,Kf1-g1,1243,1568,Zukertort Opening: Tennison Gambit,white,Kf1,g1,f1,g1,King,move,45,4lawsdotcom,black wins,4lawsdotcom (white) vs Verminard (black),W-K,
https://lichess.org/cu2eud5o,Rg2#,Rd2-g2#,1243,1568,Zukertort Opening: Tennison Gambit,black,Rd2,g2#,d2,g2,Rook,checkmate,46,Verminard,black wins,4lawsdotcom (white) vs Verminard (black),B-R-a,
