level_0,Site,SAN,LAN,player,from_and_piece,to_and_result,from,to,piece_moved,action,index,player_name,result,match_name,piece_id,killed
63,https://lichess.org/FXsStJfd,Kh7,Kg8-h7,black,Kg8,h7,g8,h7,King,move,65,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-K,
64,https://lichess.org/FXsStJfd,Nf3,Ng1-f3,white,Ng1,f3,g1,f3,Knight,move,66,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-N-g,
65,https://lichess.org/FXsStJfd,Ng8,Ne7-g8,black,Ne7,g8,e7,g8,Knight,move,67,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-N-b,
66,https://lichess.org/FXsStJfd,Nh4,Nf3-h4,white,Nf3,h4,f3,h4,Knight,move,68,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-N-g,
67,https://lichess.org/FXsStJfd,Qg4,Qg6-g4,black,Qg6,g4,g6,g4,Queen,move,69,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-Q,
68,https://lichess.org/FXsStJfd,Nf5,Nh4-f5,white,Nh4,f5,h4,f5,Knight,move,70,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-N-g,
69,https://lichess.org/FXsStJfd,Nf6,Ng8-f6,black,Ng8,f6,g8,f6,Knight,move,71,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-N-b,
70,https://lichess.org/FXsStJfd,h3,h2-h3,white,h2,h3,h2,h3,Pawn,move,72,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-P-h,
71,https://lichess.org/FXsStJfd,Qg6,Qg4-g6,black,Qg4,g6,g4,g6,Queen,move,73,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-Q,
72,https://lichess.org/FXsStJfd,Ne6,Nc5-e6,white,Nc5,e6,c5,e6,Knight,move,74,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-N-b,
73,https://lichess.org/FXsStJfd,Ra4,Ra8-a4,black,Ra8,a4,a8,a4,Rook,move,75,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-R-h,
74,https://lichess.org/FXsStJfd,b3,b2-b3,white,b2,b3,b2,b3,Pawn,move,76,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-P-b,
75,https://lichess.org/FXsStJfd,Rxe4,Ra4xe4,black,Ra4,e4,a4,e4,Rook,kill,77,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-R-h,W-P-f
76,https://lichess.org/FXsStJfd,Nxd6,Nf5xd6,white,Nf5,d6,f5,d6,Knight,kill,78,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-N-g,B-B-f
77,https://lichess.org/FXsStJfd,Bxe6,Bc8xe6,black,Bc8,e6,c8,e6,Bishop,kill,79,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-B-c,W-N-b
78,https://lichess.org/FXsStJfd,dxe6,d5xe6,white,d5,e6,d5,e6,Pawn,kill,80,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-P-d,B-B-c
79,https://lichess.org/FXsStJfd,cxd6,c7xd6,black,c7,d6,c7,d6,Pawn,kill,81,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-P-c,W-N-g
80,https://lichess.org/FXsStJfd,e7,e6-e7,white,e6,e7,e6,e7,Pawn,move,82,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-P-d,
81,https://lichess.org/FXsStJfd,d5,d6-d5,black,d6,d5,d6,d5,Pawn,move,83,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-P-c,
82,https://lichess.org/FXsStJfd,Bc5,Be3-c5,white,Be3,c5,e3,c5,Bishop,move,84,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-B-c,
83,https://lichess.org/FXsStJfd,Qe8,Qg6-e8,black,Qg6,e8,g6,e8,Queen,move,85,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-Q,
84,https://lichess.org/FXsStJfd,Qf3,Qd3-f3,white,Qd3,f3,d3,f3,Queen,move,86,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-Q,
85,https://lichess.org/FXsStJfd,Qc6,Qe8-c6,black,Qe8,c6,e8,c6,Queen,move,87,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-Q,
86,https://lichess.org/FXsStJfd,b4,b3-b4,white,b3,b4,b3,b4,Pawn,move,88,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-P-b,
87,https://lichess.org/FXsStJfd,Qe8,Qc6-e8,black,Qc6,e8,c6,e8,Queen,move,89,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-Q,
88,https://lichess.org/FXsStJfd,Qf5+,Qf3-f5+,white,Qf3,f5+,f3,f5,Queen,check,90,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-Q,
89,https://lichess.org/FXsStJfd,Kh8,Kh7-h8,black,Kh7,h8,h7,h8,King,move,91,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-K,
90,https://lichess.org/FXsStJfd,Qxf6,Qf5xf6,white,Qf5,f6,f5,f6,Queen,kill,92,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-Q,B-N-b
91,https://lichess.org/FXsStJfd,gxf6,g7xf6,black,g7,f6,g7,f6,Pawn,kill,93,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-P-g,W-Q
92,https://lichess.org/FXsStJfd,Rxf6,Rf1xf6,white,Rf1,f6,f1,f6,Rook,kill,94,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-R-h,B-P-g
93,https://lichess.org/FXsStJfd,Qh5,Qe8-h5,black,Qe8,h5,e8,h5,Queen,move,95,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-Q,
94,https://lichess.org/FXsStJfd,Rf8+,Rf6-f8+,white,Rf6,f8+,f6,f8,Rook,check,96,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-R-h,
95,https://lichess.org/FXsStJfd,Kg7,Kh8-g7,black,Kh8,g7,h8,g7,King,move,97,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-K,
96,https://lichess.org/FXsStJfd,e8=Q,e7-e8=Q,white,e7,e8=Q,e7,e8,Pawn,move,98,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-P-d,
97,https://lichess.org/FXsStJfd,Re2+,Re4-e2+,black,Re4,e2+,e4,e2,Rook,check,99,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-R-h,
98,https://lichess.org/FXsStJfd,Kf1,Kg2-f1,white,Kg2,f1,g2,f1,King,move,100,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-K,
99,https://lichess.org/FXsStJfd,Qxh3+,Qh5xh3+,black,Qh5,h3+,h5,h3,Queen,kill,101,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-Q,W-P-h
100,https://lichess.org/FXsStJfd,Kxe2,Kf1xe2,white,Kf1,e2,f1,e2,King,kill,102,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-K,B-R-h
101,https://lichess.org/FXsStJfd,Qg2+,Qh3-g2+,black,Qh3,g2+,h3,g2,Queen,check,103,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-Q,
102,https://lichess.org/FXsStJfd,Rf2,Rf8-f2,white,Rf8,f2,f8,f2,Rook,move,104,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-R-h,
103,https://lichess.org/FXsStJfd,Qe4+,Qg2-e4+,black,Qg2,e4+,g2,e4,Queen,check,105,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-Q,
104,https://lichess.org/FXsStJfd,Kd2,Ke2-d2,white,Ke2,d2,e2,d2,King,move,106,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-K,
0,Bled SLO,e4,e2-e4,white,e2,e4,e2,e4,Pawn,move,0,Judit Polgar,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),W-P-e,
1,Bled SLO,e5,e7-e5,black,e7,e5,e7,e5,Pawn,move,1,Shakhriyar Mamedyarov,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),B-P-e,
2,Bled SLO,Nf3,Ng1-f3,white,Ng1,f3,g1,f3,Knight,move,2,Judit Polgar,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),W-N-g,
3,Bled SLO,Nc6,Nb8-c6,black,Nb8,c6,b8,c6,Knight,move,3,Shakhriyar Mamedyarov,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),B-N-b,
4,Bled SLO,Bb5,Bf1-b5,white,Bf1,b5,f1,b5,Bishop,move,4,Judit Polgar,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),W-B-f,
5,Bled SLO,a6,a7-a6,black,a7,a6,a7,a6,Pawn,move,5,Shakhriyar Mamedyarov,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),B-P-a,
6,Bled SLO,Ba4,Bb5-a4,white,Bb5,a4,b5,a4,Bishop,move,6,Judit Polgar,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),W-B-f,
7,Bled SLO,Nf6,Ng8-f6,black,Ng8,f6,g8,f6,Knight,move,7,Shakhriyar Mamedyarov,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),B-N-g,
0,Bled SLO,O-O,O-O,white,e1,g1,e1,g1,King,move,8,Judit Polgar,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),W-K,
1,Bled SLO,O-O,O-O,white,h1,f1,h1,f1,Rook,move,9,Judit Polgar,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),W-R-h,
9,Bled SLO,Nxe4,Nf6xe4,black,Nf6,e4,f6,e4,Knight,kill,10,Shakhriyar Mamedyarov,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),B-N-g,W-P-e
10,Bled SLO,d4,d2-d4,white,d2,d4,d2,d4,Pawn,move,11,Judit Polgar,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),W-P-d,
11,Bled SLO,b5,b7-b5,black,b7,b5,b7,b5,Pawn,move,12,Shakhriyar Mamedyarov,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),B-P-b,
12,Bled SLO,Bb3,Ba4-b3,white,Ba4,b3,a4,b3,Bishop,move,13,Judit Polgar,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),W-B-f,
13,Bled SLO,d5,d7-d5,black,d7,d5,d7,d5,Pawn,move,14,Shakhriyar Mamedyarov,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),B-P-d,
14,Bled SLO,dxe5,d4xe5,white,d4,e5,d4,e5,Pawn,kill,15,Judit Polgar,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),W-P-d,B-P-e
15,Bled SLO,Be6,Bc8-e6,black,Bc8,e6,c8,e6,Bishop,move,16,Shakhriyar Mamedyarov,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),B-B-c,
16,Bled SLO,Nbd2,Nb1-d2,white,Nb1,d2,b1,d2,Knight,move,17,Judit Polgar,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),W-N-b,
17,Bled SLO,Nc5,Ne4-c5,black,Ne4,c5,e4,c5,Knight,move,18,Shakhriyar Mamedyarov,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),B-N-g,
18,Bled SLO,c3,c2-c3,white,c2,c3,c2,c3,Pawn,move,19,Judit Polgar,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),W-P-c,
19,Bled SLO,d4,d5-d4,black,d5,d4,d5,d4,Pawn,move,20,Shakhriyar Mamedyarov,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),B-P-d,
20,Bled SLO,Ng5,Nf3-g5,white,Nf3,g5,f3,g5,Knight,move,21,Judit Polgar,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),W-N-g,
21,Bled SLO,Bd5,Be6-d5,black,Be6,d5,e6,d5,Bishop,move,22,Shakhriyar Mamedyarov,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),B-B-c,
22,Bled SLO,Nxf7,Ng5xf7,white,Ng5,f7,g5,f7,Knight,kill,23,Judit Polgar,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),W-N-g,B-P-f
23,Bled SLO,Kxf7,Ke8xf7,black,Ke8,f7,e8,f7,King,kill,24,Shakhriyar Mamedyarov,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),B-K,W-N-g
24,Bled SLO,Qf3+,Qd1-f3+,white,Qd1,f3+,d1,f3,Queen,check,25,Judit Polgar,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),W-Q,
25,Bled SLO,Ke6,Kf7-e6,black,Kf7,e6,f7,e6,King,move,26,Shakhriyar Mamedyarov,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),B-K,
26,Bled SLO,Qg4+,Qf3-g4+,white,Qf3,g4+,f3,g4,Queen,check,27,Judit Polgar,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),W-Q,
27,Bled SLO,Kf7,Ke6-f7,black,Ke6,f7,e6,f7,King,move,28,Shakhriyar Mamedyarov,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),B-K,
28,Bled SLO,Qf5+,Qg4-f5+,white,Qg4,f5+,g4,f5,Queen,check,29,Judit Polgar,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),W-Q,
29,Bled SLO,Ke7,Kf7-e7,black,Kf7,e7,f7,e7,King,move,30,Shakhriyar Mamedyarov,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),B-K,
30,Bled SLO,e6,e5-e6,white,e5,e6,e5,e6,Pawn,move,31,Judit Polgar,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),W-P-d,
31,Bled SLO,Bxe6,Bd5xe6,black,Bd5,e6,d5,e6,Bishop,kill,32,Shakhriyar Mamedyarov,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),B-B-c,W-P-d
32,Bled SLO,Re1,Rf1-e1,white,Rf1,e1,f1,e1,Rook,move,33,Judit Polgar,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),W-R-h,
33,Bled SLO,Qd6,Qd8-d6,black,Qd8,d6,d8,d6,Queen,move,34,Shakhriyar Mamedyarov,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),B-Q,
34,Bled SLO,Bxe6,Bb3xe6,white,Bb3,e6,b3,e6,Bishop,kill,35,Judit Polgar,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),W-B-f,B-B-c
35,Bled SLO,Nxe6,Nc5xe6,black,Nc5,e6,c5,e6,Knight,kill,36,Shakhriyar Mamedyarov,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),B-N-g,W-B-f
36,Bled SLO,Ne4,Nd2-e4,white,Nd2,e4,d2,e4,Knight,move,37,Judit Polgar,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),W-N-b,
37,Bled SLO,Qe5,Qd6-e5,black,Qd6,e5,d6,e5,Queen,move,38,Shakhriyar Mamedyarov,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),B-Q,
38,Bled SLO,Bg5+,Bc1-g5+,white,Bc1,g5+,c1,g5,Bishop,check,39,Judit Polgar,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),W-B-c,
39,Bled SLO,Kd7,Ke7-d7,black,Ke7,d7,e7,d7,King,move,40,Shakhriyar Mamedyarov,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),B-K,
40,Bled SLO,Nc5+,Ne4-c5+,white,Ne4,c5+,e4,c5,Knight,check,41,Judit Polgar,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),W-N-b,
41,Bled SLO,Bxc5,Bf8xc5,black,Bf8,c5,f8,c5,Bishop,kill,42,Shakhriyar Mamedyarov,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),B-B-f,W-N-b
42,Bled SLO,Qf7+,Qf5-f7+,white,Qf5,f7+,f5,f7,Queen,check,43,Judit Polgar,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),W-Q,
43,Bled SLO,Kd6,Kd7-d6,black,Kd7,d6,d7,d6,King,move,44,Shakhriyar Mamedyarov,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),B-K,
44,Bled SLO,Be7+,Bg5-e7+,white,Bg5,e7+,g5,e7,Bishop,check,45,Judit Polgar,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),W-B-c,
45,Bled SLO,Kd5,Kd6-d5,black,Kd6,d5,d6,d5,King,move,46,Shakhriyar Mamedyarov,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),B-K,
46,Bled SLO,Qf3+,Qf7-f3+,white,Qf7,f3+,f7,f3,Queen,check,47,Judit Polgar,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),W-Q,
47,Bled SLO,Kc4,Kd5-c4,black,Kd5,c4,d5,c4,King,move,48,Shakhriyar Mamedyarov,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),B-K,
48,Bled SLO,b3#,b2-b3#,white,b2,b3#,b2,b3,Pawn,checkmate,49,Judit Polgar,white wins,Judit Polgar (white) vs Shakhriyar Mamedyarov (black),W-P-b,
0,https://lichess.org/study/mMd71FFj/FAyvLmLJ,e4,e2-e4,white,e2,e4,e2,e4,Pawn,move,0,Deep Blue,white wins,Deep Blue (white) vs Garry Kasparov (black),W-P-e,
1,https://lichess.org/study/mMd71FFj/FAyvLmLJ,c5,c7-c5,black,c7,c5,c7,c5,Pawn,move,1,Garry Kasparov,white wins,Deep Blue (white) vs Garry Kasparov (black),B-P-c,
2,https://lichess.org/study/mMd71FFj/FAyvLmLJ,c3,c2-c3,white,c2,c3,c2,c3,Pawn,move,2,Deep Blue,white wins,Deep Blue (white) vs Garry Kasparov (black),W-P-c,
3,https://lichess.org/study/mMd71FFj/FAyvLmLJ,d5,d7-d5,black,d7,d5,d7,d5,Pawn,move,3,Garry Kasparov,white wins,Deep Blue (white) vs Garry Kasparov (black),B-P-d,
4,https://lichess.org/study/mMd71FFj/FAyvLmLJ,exd5,e4xd5,white,e4,d5,e4,d5,Pawn,kill,4,Deep Blue,white wins,Deep Blue (white) vs Garry Kasparov (black),W-P-e,B-P-d
5,https://lichess.org/study/mMd71FFj/FAyvLmLJ,Qxd5,Qd8xd5,black,Qd8,d5,d8,d5,Queen,kill,5,Garry Kasparov,white wins,Deep Blue (white) vs Garry Kasparov (black),B-Q,W-P-e
6,https://lichess.org/study/mMd71FFj/FAyvLmLJ,d4,d2-d4,white,d2,d4,d2,d4,Pawn,move,6,Deep Blue,white wins,Deep Blue (white) vs Garry Kasparov (black),W-P-d,
7,https://lichess.org/study/mMd71FFj/FAyvLmLJ,Nf6,Ng8-f6,black,Ng8,f6,g8,f6,Knight,move,7,Garry Kasparov,white wins,Deep Blue (white) vs Garry Kasparov (black),B-N-g,
8,https://lichess.org/study/mMd71FFj/FAyvLmLJ,Nf3,Ng1-f3,white,Ng1,f3,g1,f3,Knight,move,8,Deep Blue,white wins,Deep Blue (white) vs Garry Kasparov (black),W-N-g,
9,https://lichess.org/study/mMd71FFj/FAyvLmLJ,Bg4,Bc8-g4,black,Bc8,g4,c8,g4,Bishop,move,9,Garry Kasparov,white wins,Deep Blue (white) vs Garry Kasparov (black),B-B-c,
10,https://lichess.org/study/mMd71FFj/FAyvLmLJ,Be2,Bf1-e2,white,Bf1,e2,f1,e2,Bishop,move,10,Deep Blue,white wins,Deep Blue (white) vs Garry Kasparov (black),W-B-f,
11,https://lichess.org/study/mMd71FFj/FAyvLmLJ,e6,e7-e6,black,e7,e6,e7,e6,Pawn,move,11,Garry Kasparov,white wins,Deep Blue (white) vs Garry Kasparov (black),B-P-e,
12,https://lichess.org/study/mMd71FFj/FAyvLmLJ,h3,h2-h3,white,h2,h3,h2,h3,Pawn,move,12,Deep Blue,white wins,Deep Blue (white) vs Garry Kasparov (black),W-P-h,
13,https://lichess.org/study/mMd71FFj/FAyvLmLJ,Bh5,Bg4-h5,black,Bg4,h5,g4,h5,Bishop,move,13,Garry Kasparov,white wins,Deep Blue (white) vs Garry Kasparov (black),B-B-c,
0,https://lichess.org/study/mMd71FFj/FAyvLmLJ,O-O,O-O,white,e1,g1,e1,g1,King,move,14,Deep Blue,white wins,Deep Blue (white) vs Garry Kasparov (black),W-K,
1,https://lichess.org/study/mMd71FFj/FAyvLmLJ,O-O,O-O,white,h1,f1,h1,f1,Rook,move,15,Deep Blue,white wins,Deep Blue (white) vs Garry Kasparov (black),W-R-h,
15,https://lichess.org/study/mMd71FFj/FAyvLmLJ,Nc6,Nb8-c6,black,Nb8,c6,b8,c6,Knight,move,16,Garry Kasparov,white wins,Deep Blue (white) vs Garry Kasparov (black),B-N-b,
16,https://lichess.org/study/mMd71FFj/FAyvLmLJ,Be3,Bc1-e3,white,Bc1,e3,c1,e3,Bishop,move,17,Deep Blue,white wins,Deep Blue (white) vs Garry Kasparov (black),W-B-c,
17,https://lichess.org/study/mMd71FFj/FAyvLmLJ,cxd4,c5xd4,black,c5,d4,c5,d4,Pawn,kill,18,Garry Kasparov,white wins,Deep Blue (white) vs Garry Kasparov (black),B-P-c,W-P-d
18,https://lichess.org/study/mMd71FFj/FAyvLmLJ,cxd4,c3xd4,white,c3,d4,c3,d4,Pawn,kill,19,Deep Blue,white wins,Deep Blue (white) vs Garry Kasparov (black),W-P-c,B-P-c
19,https://lichess.org/study/mMd71FFj/FAyvLmLJ,Bb4,Bf8-b4,black,Bf8,b4,f8,b4,Bishop,move,20,Garry Kasparov,white wins,Deep Blue (white) vs Garry Kasparov (black),B-B-f,
20,https://lichess.org/study/mMd71FFj/FAyvLmLJ,a3,a2-a3,white,a2,a3,a2,a3,Pawn,move,21,Deep Blue,white wins,Deep Blue (white) vs Garry Kasparov (black),W-P-a,
21,https://lichess.org/study/mMd71FFj/FAyvLmLJ,Ba5,Bb4-a5,black,Bb4,a5,b4,a5,Bishop,move,22,Garry Kasparov,white wins,Deep Blue (white) vs Garry Kasparov (black),B-B-f,
22,https://lichess.org/study/mMd71FFj/FAyvLmLJ,Nc3,Nb1-c3,white,Nb1,c3,b1,c3,Knight,move,23,Deep Blue,white wins,Deep Blue (white) vs Garry Kasparov (black),W-N-b,
23,https://lichess.org/study/mMd71FFj/FAyvLmLJ,Qd6,Qd5-d6,black,Qd5,d6,d5,d6,Queen,move,24,Garry Kasparov,white wins,Deep Blue (white) vs Garry Kasparov (black),B-Q,
24,https://lichess.org/study/mMd71FFj/FAyvLmLJ,Nb5,Nc3-b5,white,Nc3,b5,c3,b5,Knight,move,25,Deep Blue,white wins,Deep Blue (white) vs Garry Kasparov (black),W-N-b,
25,https://lichess.org/study/mMd71FFj/FAyvLmLJ,Qe7,Qd6-e7,black,Qd6,e7,d6,e7,Queen,move,26,Garry Kasparov,white wins,Deep Blue (white) vs Garry Kasparov (black),B-Q,
26,https://lichess.org/study/mMd71FFj/FAyvLmLJ,Ne5,Nf3-e5,white,Nf3,e5,f3,e5,Knight,move,27,Deep Blue,white wins,Deep Blue (white) vs Garry Kasparov (black),W-N-g,
27,https://lichess.org/study/mMd71FFj/FAyvLmLJ,Bxe2,Bh5xe2,black,Bh5,e2,h5,e2,Bishop,kill,28,Garry Kasparov,white wins,Deep Blue (white) vs Garry Kasparov (black),B-B-c,W-B-f
28,https://lichess.org/study/mMd71FFj/FAyvLmLJ,Qxe2,Qd1xe2,white,Qd1,e2,d1,e2,Queen,kill,29,Deep Blue,white wins,Deep Blue (white) vs Garry Kasparov (black),W-Q,B-B-c
0,https://lichess.org/study/mMd71FFj/FAyvLmLJ,O-O,O-O,black,e8,g8,e8,g8,King,move,30,Garry Kasparov,white wins,Deep Blue (white) vs Garry Kasparov (black),B-K,
1,https://lichess.org/study/mMd71FFj/FAyvLmLJ,O-O,O-O,black,h8,f8,h8,f8,Rook,move,31,Garry Kasparov,white wins,Deep Blue (white) vs Garry Kasparov (black),B-R-h,
30,https://lichess.org/study/mMd71FFj/FAyvLmLJ,Rac1,Ra1-c1,white,Ra1,c1,a1,c1,Rook,move,32,Deep Blue,white wins,Deep Blue (white) vs Garry Kasparov (black),W-R-a,
31,https://lichess.org/study/mMd71FFj/FAyvLmLJ,Rac8,Ra8-c8,black,Ra8,c8,a8,c8,Rook,move,33,Garry Kasparov,white wins,Deep Blue (white) vs Garry Kasparov (black),B-R-a,
32,https://lichess.org/study/mMd71FFj/FAyvLmLJ,Bg5,Be3-g5,white,Be3,g5,e3,g5,Bishop,move,34,Deep Blue,white wins,Deep Blue (white) vs Garry Kasparov (black),W-B-c,
33,https://lichess.org/study/mMd71FFj/FAyvLmLJ,Bb6,Ba5-b6,black,Ba5,b6,a5,b6,Bishop,move,35,Garry Kasparov,white wins,Deep Blue (white) vs Garry Kasparov (black),B-B-f,
34,https://lichess.org/study/mMd71FFj/FAyvLmLJ,Bxf6,Bg5xf6,white,Bg5,f6,g5,f6,Bishop,kill,36,Deep Blue,white wins,Deep Blue (white) vs Garry Kasparov (black),W-B-c,B-N-g
35,https://lichess.org/study/mMd71FFj/FAyvLmLJ,gxf6,g7xf6,black,g7,f6,g7,f6,Pawn,kill,37,Garry Kasparov,white wins,Deep Blue (white) vs Garry Kasparov (black),B-P-g,W-B-c
36,https://lichess.org/study/mMd71FFj/FAyvLmLJ,Nc4,Ne5-c4,white,Ne5,c4,e5,c4,Knight,move,38,Deep Blue,white wins,Deep Blue (white) vs Garry Kasparov (black),W-N-g,
37,https://lichess.org/study/mMd71FFj/FAyvLmLJ,Rfd8,Rf8-d8,black,Rf8,d8,f8,d8,Rook,move,39,Garry Kasparov,white wins,Deep Blue (white) vs Garry Kasparov (black),B-R-h,
38,https://lichess.org/study/mMd71FFj/FAyvLmLJ,Nxb6,Nc4xb6,white,Nc4,b6,c4,b6,Knight,kill,40,Deep Blue,white wins,Deep Blue (white) vs Garry Kasparov (black),W-N-g,B-B-f
39,https://lichess.org/study/mMd71FFj/FAyvLmLJ,axb6,a7xb6,black,a7,b6,a7,b6,Pawn,kill,41,Garry Kasparov,white wins,Deep Blue (white) vs Garry Kasparov (black),B-P-a,W-N-g
40,https://lichess.org/study/mMd71FFj/FAyvLmLJ,Rfd1,Rf1-d1,white,Rf1,d1,f1,d1,Rook,move,42,Deep Blue,white wins,Deep Blue (white) vs Garry Kasparov (black),W-R-h,
41,https://lichess.org/study/mMd71FFj/FAyvLmLJ,f5,f6-f5,black,f6,f5,f6,f5,Pawn,move,43,Garry Kasparov,white wins,Deep Blue (white) vs Garry Kasparov (black),B-P-g,
