level_0,Site,SAN,LAN,player,from_and_piece,to_and_result,from,to,piece_moved,action,index,player_name,result,match_name,piece_id,killed
25,https://play.chess24.com/play/dd1c640dd89d,Neg4,Ne5-g4,black,Ne5,g4,e5,g4,Knight,move,27,"Nepomniachtchi, Ian",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",B-N-b,
26,https://play.chess24.com/play/dd1c640dd89d,Rf3,Rf1-f3,white,Rf1,f3,f1,f3,Rook,move,28,"Carlsen, Magnus",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",W-R-h,
27,https://play.chess24.com/play/dd1c640dd89d,Re8,Rf8-e8,black,Rf8,e8,f8,e8,Rook,move,29,"Nepomniachtchi, Ian",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",B-R-h,
28,https://play.chess24.com/play/dd1c640dd89d,Nf1,Nd2-f1,white,Nd2,f1,d2,f1,Knight,move,30,"Carlsen, Magnus",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",W-N-g,
29,https://play.chess24.com/play/dd1c640dd89d,Nh5,Nf6-h5,black,Nf6,h5,f6,h5,Knight,move,31,"Nepomniachtchi, Ian",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",B-N-g,
30,https://play.chess24.com/play/dd1c640dd89d,Be1,Bg3-e1,white,Bg3,e1,g3,e1,Bishop,move,32,"Carlsen, Magnus",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",W-B-c,
31,https://play.chess24.com/play/dd1c640dd89d,f5,f7-f5,black,f7,f5,f7,f5,Pawn,move,33,"Nepomniachtchi, Ian",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",B-P-f,
32,https://play.chess24.com/play/dd1c640dd89d,Bc4+,Be2-c4+,white,Be2,c4+,e2,c4,Bishop,check,34,"Carlsen, Magnus",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",W-B-f,
33,https://play.chess24.com/play/dd1c640dd89d,Be6,Bc8-e6,black,Bc8,e6,c8,e6,Bishop,move,35,"Nepomniachtchi, Ian",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",B-B-c,
34,https://play.chess24.com/play/dd1c640dd89d,Bxe6+,Bc4xe6+,white,Bc4,e6+,c4,e6,Bishop,kill,36,"Carlsen, Magnus",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",W-B-f,B-B-c
35,https://play.chess24.com/play/dd1c640dd89d,Rxe6,Re8xe6,black,Re8,e6,e8,e6,Rook,kill,37,"Nepomniachtchi, Ian",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",B-R-h,W-B-f
36,https://play.chess24.com/play/dd1c640dd89d,h3,h2-h3,white,h2,h3,h2,h3,Pawn,move,38,"Carlsen, Magnus",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",W-P-h,
37,https://play.chess24.com/play/dd1c640dd89d,Ngf6,Ng4-f6,black,Ng4,f6,g4,f6,Knight,move,39,"Nepomniachtchi, Ian",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",B-N-b,
38,https://play.chess24.com/play/dd1c640dd89d,fxg5,f4xg5,white,f4,g5,f4,g5,Pawn,kill,40,"Carlsen, Magnus",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",W-P-f,B-P-g
39,https://play.chess24.com/play/dd1c640dd89d,hxg5,h6xg5,black,h6,g5,h6,g5,Pawn,kill,41,"Nepomniachtchi, Ian",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",B-P-h,W-P-f
40,https://play.chess24.com/play/dd1c640dd89d,Rxf5,Rf3xf5,white,Rf3,f5,f3,f5,Rook,kill,42,"Carlsen, Magnus",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",W-R-h,B-P-f
41,https://play.chess24.com/play/dd1c640dd89d,Bh6,Bg7-h6,black,Bg7,h6,g7,h6,Bishop,move,43,"Nepomniachtchi, Ian",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",B-B-f,
42,https://play.chess24.com/play/dd1c640dd89d,g4,g2-g4,white,g2,g4,g2,g4,Pawn,move,44,"Carlsen, Magnus",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",W-P-g,
43,https://play.chess24.com/play/dd1c640dd89d,Ng7,Nh5-g7,black,Nh5,g7,h5,g7,Knight,move,45,"Nepomniachtchi, Ian",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",B-N-g,
44,https://play.chess24.com/play/dd1c640dd89d,Rf3,Rf5-f3,white,Rf5,f3,f5,f3,Rook,move,46,"Carlsen, Magnus",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",W-R-h,
45,https://play.chess24.com/play/dd1c640dd89d,Qd7,Qd8-d7,black,Qd8,d7,d8,d7,Queen,move,47,"Nepomniachtchi, Ian",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",B-Q,
46,https://play.chess24.com/play/dd1c640dd89d,Ng3,Nf1-g3,white,Nf1,g3,f1,g3,Knight,move,48,"Carlsen, Magnus",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",W-N-g,
47,https://play.chess24.com/play/dd1c640dd89d,Rae8,Ra8-e8,black,Ra8,e8,a8,e8,Rook,move,49,"Nepomniachtchi, Ian",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",B-R-a,
48,https://play.chess24.com/play/dd1c640dd89d,Bf2,Be1-f2,white,Be1,f2,e1,f2,Bishop,move,50,"Carlsen, Magnus",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",W-B-c,
49,https://play.chess24.com/play/dd1c640dd89d,Qc6,Qd7-c6,black,Qd7,c6,d7,c6,Queen,move,51,"Nepomniachtchi, Ian",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",B-Q,
50,https://play.chess24.com/play/dd1c640dd89d,e4,e3-e4,white,e3,e4,e3,e4,Pawn,move,52,"Carlsen, Magnus",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",W-P-e,
51,https://play.chess24.com/play/dd1c640dd89d,Nd7,Nf6-d7,black,Nf6,d7,f6,d7,Knight,move,53,"Nepomniachtchi, Ian",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",B-N-b,
52,https://play.chess24.com/play/dd1c640dd89d,Nd5,Nc3-d5,white,Nc3,d5,c3,d5,Knight,move,54,"Carlsen, Magnus",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",W-N-b,
0,https://lichess.org/FXsStJfd,d4,d2-d4,white,d2,d4,d2,d4,Pawn,move,0,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-P-d,
1,https://lichess.org/FXsStJfd,d5,d7-d5,black,d7,d5,d7,d5,Pawn,move,1,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-P-d,
2,https://lichess.org/FXsStJfd,c4,c2-c4,white,c2,c4,c2,c4,Pawn,move,2,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-P-c,
3,https://lichess.org/FXsStJfd,dxc4,d5xc4,black,d5,c4,d5,c4,Pawn,kill,3,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-P-d,W-P-c
4,https://lichess.org/FXsStJfd,e4,e2-e4,white,e2,e4,e2,e4,Pawn,move,4,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-P-e,
5,https://lichess.org/FXsStJfd,Nc6,Nb8-c6,black,Nb8,c6,b8,c6,Knight,move,5,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-N-b,
6,https://lichess.org/FXsStJfd,Be3,Bc1-e3,white,Bc1,e3,c1,e3,Bishop,move,6,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-B-c,
7,https://lichess.org/FXsStJfd,Nf6,Ng8-f6,black,Ng8,f6,g8,f6,Knight,move,7,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-N-g,
8,https://lichess.org/FXsStJfd,Nc3,Nb1-c3,white,Nb1,c3,b1,c3,Knight,move,8,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-N-b,
9,https://lichess.org/FXsStJfd,e5,e7-e5,black,e7,e5,e7,e5,Pawn,move,9,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-P-e,
10,https://lichess.org/FXsStJfd,d5,d4-d5,white,d4,d5,d4,d5,Pawn,move,10,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-P-d,
11,https://lichess.org/FXsStJfd,Ne7,Nc6-e7,black,Nc6,e7,c6,e7,Knight,move,11,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-N-b,
12,https://lichess.org/FXsStJfd,Bxc4,Bf1xc4,white,Bf1,c4,f1,c4,Bishop,kill,12,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-B-f,B-P-d
13,https://lichess.org/FXsStJfd,Ng6,Ne7-g6,black,Ne7,g6,e7,g6,Knight,move,13,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-N-b,
14,https://lichess.org/FXsStJfd,f3,f2-f3,white,f2,f3,f2,f3,Pawn,move,14,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-P-f,
15,https://lichess.org/FXsStJfd,Bd6,Bf8-d6,black,Bf8,d6,f8,d6,Bishop,move,15,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-B-f,
16,https://lichess.org/FXsStJfd,Qd2,Qd1-d2,white,Qd1,d2,d1,d2,Queen,move,16,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-Q,
17,https://lichess.org/FXsStJfd,Bd7,Bc8-d7,black,Bc8,d7,c8,d7,Bishop,move,17,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-B-c,
18,https://lichess.org/FXsStJfd,Nge2,Ng1-e2,white,Ng1,e2,g1,e2,Knight,move,18,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-N-g,
19,https://lichess.org/FXsStJfd,a6,a7-a6,black,a7,a6,a7,a6,Pawn,move,19,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-P-a,
20,https://lichess.org/FXsStJfd,Bb3,Bc4-b3,white,Bc4,b3,c4,b3,Bishop,move,20,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-B-f,
21,https://lichess.org/FXsStJfd,b5,b7-b5,black,b7,b5,b7,b5,Pawn,move,21,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-P-b,
22,https://lichess.org/FXsStJfd,a4,a2-a4,white,a2,a4,a2,a4,Pawn,move,22,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-P-a,
0,https://lichess.org/FXsStJfd,O-O,O-O,black,e8,g8,e8,g8,King,move,23,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-K,
1,https://lichess.org/FXsStJfd,O-O,O-O,black,h8,f8,h8,f8,Rook,move,24,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-R-h,
1,https://lichess.org/FXsStJfd,O-O,O-O,white,h1,f1,h1,f1,Rook,move,25,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-R-h,
0,https://lichess.org/FXsStJfd,O-O,O-O,white,e1,g1,e1,g1,King,move,26,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-K,
25,https://lichess.org/FXsStJfd,Qe7,Qd8-e7,black,Qd8,e7,d8,e7,Queen,move,27,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-Q,
26,https://lichess.org/FXsStJfd,Rac1,Ra1-c1,white,Ra1,c1,a1,c1,Rook,move,28,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-R-a,
27,https://lichess.org/FXsStJfd,Nh5,Nf6-h5,black,Nf6,h5,f6,h5,Knight,move,29,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-N-g,
28,https://lichess.org/FXsStJfd,g3,g2-g3,white,g2,g3,g2,g3,Pawn,move,30,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-P-g,
29,https://lichess.org/FXsStJfd,h6,h7-h6,black,h7,h6,h7,h6,Pawn,move,31,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-P-h,
30,https://lichess.org/FXsStJfd,Bc2,Bb3-c2,white,Bb3,c2,b3,c2,Bishop,move,32,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-B-f,
31,https://lichess.org/FXsStJfd,Rab8,Ra8-b8,black,Ra8,b8,a8,b8,Rook,move,33,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-R-a,
32,https://lichess.org/FXsStJfd,axb5,a4xb5,white,a4,b5,a4,b5,Pawn,kill,34,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-P-a,B-P-b
33,https://lichess.org/FXsStJfd,axb5,a6xb5,black,a6,b5,a6,b5,Pawn,kill,35,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-P-a,W-P-a
34,https://lichess.org/FXsStJfd,Ra1,Rc1-a1,white,Rc1,a1,c1,a1,Rook,move,36,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-R-a,
35,https://lichess.org/FXsStJfd,Ra8,Rb8-a8,black,Rb8,a8,b8,a8,Rook,move,37,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-R-a,
36,https://lichess.org/FXsStJfd,Bd3,Bc2-d3,white,Bc2,d3,c2,d3,Bishop,move,38,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-B-f,
37,https://lichess.org/FXsStJfd,Bb4,Bd6-b4,black,Bd6,b4,d6,b4,Bishop,move,39,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-B-f,
38,https://lichess.org/FXsStJfd,Rxa8,Ra1xa8,white,Ra1,a8,a1,a8,Rook,kill,40,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-R-a,B-R-a
39,https://lichess.org/FXsStJfd,Rxa8,Rf8xa8,black,Rf8,a8,f8,a8,Rook,kill,41,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-R-h,W-R-a
